admittor_code	admittor_1	admittors_from_almshouse_register
1		[blank]
2	11th ward	11th ward
2	11th ward	11th ward
3	12th ward	12th ward
3	12th ward	12th ward
4	15th ward	15th ward
5	16th ward	16th ward
6	17th ward	17th ward
6	17th ward	17th ward
7	18th ward	18th ward
7	18th ward	18th ward
8	1st ward	1st ward
9	4th ward	4th ward
10	5th ward	5th ward
11	8th ward	8th ward
11	8th ward	8th ward
12	9th ward	9th ward
13	a. maro	a. maro
14	a.b. smith stevens	a.b. smith stevens
15	a.b.roberts	a.b.roberts
16	a.g. schratty	a.g. schratty
17	a.b. smith stevens	a.b. smith stevens
18	lawrence 8th ward	abraham r. lawrence
18	hd. lawrence 9th ward	abraham r. lawrence
18	hd. lawrence 8th ward	abraham r. lawrence
18	hd. lawrence 8th war	abraham r. lawrence
18	hd. lawrence 10th ward	abraham r. lawrence
18	hd. lawrence	abraham r. lawrence
18	hd. lawrenc 8th ward	abraham r. lawrence
18	hd. larrence 8th ward	abraham r. lawrence
18	a.r. lawrence 8th ward	abraham r. lawrence
19	agent	agent
20	ald. pan	ald. pan
21	alderman lee	alderman lee
22	alderman pollock	alderman pollock
23	stp. hd. schultz 3rd ward	alexander h. schultz
23	hd. shultz 5th ward	alexander h. schultz
24	alms house	alms house
25	b.j stopt	b.j stopt
26	bs smith	b.s. smith
27	osborn	barnabas w. osborn
27	osborn	barnabas w. osborn
27	j. osborn	barnabas w. osborn
27	bw osborn	barnabas w. osborn
27	bw osborn	barnabas w. osborn
27	b. osborn	barnabas w. osborn
27	b w osborn	barnabas w. osborn
28	capt. 8th police district	benjamin p. fairchild
29	phillips et al	benjamin t. phillips
29	phillips and (illegible)	benjamin t. phillips
29	phillips	benjamin t. phillips
29	phillips	benjamin t. phillips
29	j. phillips	benjamin t. phillips
29	j. philips	benjamin t. phillips
29	j phillips	benjamin t. phillips
29	j phillip	benjamin t. phillips
29	bj phillips	benjamin t. phillips
29	b phillips	benjamin t. phillips
30	s hopkins	benson s. hopkins
30	rf. hopkins	benson s. hopkins
30	hopkins	benson s. hopkins
30	hedkins	benson s. hopkins
30	bw hawkins	benson s. hopkins
30	bl hopkins	benson s. hopkins
30	benson	benson s. hopkins
30	b.s. hopkins	benson s. hopkins
30	b.j. hopkins	benson s. hopkins
30	b. hopkins	benson s. hopkins
31	hd. meresole 6th ward	bernard j. mersole
32	chas sutton	charles j. sutton
32	chas sutton	charles j. sutton
32	charles sutton	charles j. sutton
32	ch sutton	charles j. sutton
33	hd. crolius 17th ward	clarkson crolius
33	hd. croleus 17th ward	clarkson crolius
33	hd. collins 17th ward	clarkson crolius
33	hd. cllins 17th ward	clarkson crolius
34	commissioner	commissioners of emigration
34	commisioner	commissioners of emigration
34	comm	commissioners of emigration
34	comm	commissioners of emigration
34	com on emigration	commissioners of emigration
34	com of emigration	commissioners of emigration
