almshouse_register_site_code	site_description	site_general	public_health_site_code
ah	Almshouse	Bellevue Complex	PHS1
hah	Almshouse Hospital	Bellevue Complex	PHS1
garret	Bellevue Garret	Bellevue Complex	PHS1
garret 38	Bellevue Garret	Bellevue Complex	PHS1
garret 46	Bellevue Garret	Bellevue Complex	PHS1
chapel	Bellevue Hospital Chapel	Bellevue Complex	PHS1
chapel h 24	Bellevue Hospital Chapel	Bellevue Complex	PHS1
h 45	Hosital Ward 45	Bellevue Complex	PHS1
h	Hospital	Bellevue Complex	PHS1
h died	Hospital Morgue	Bellevue Complex	PHS1
h 11	Hospital Ward 11	Bellevue Complex	PHS1
h 12	Hospital Ward 12	Bellevue Complex	PHS1
13	Hospital Ward 13	Bellevue Complex	PHS1
h 130	Hospital Ward 13	Bellevue Complex	PHS1
h 14	Hospital Ward 14	Bellevue Complex	PHS1
15	Hospital Ward 15	Bellevue Complex	PHS1
h 15	Hospital Ward 15	Bellevue Complex	PHS1
16	Hospital Ward 16	Bellevue Complex	PHS1
h 16	Hospital Ward 16	Bellevue Complex	PHS1
h 16	Hospital Ward 16	Bellevue Complex	PHS1
h 17	Hospital Ward 17	Bellevue Complex	PHS1
h 17	Hospital Ward 17	Bellevue Complex	PHS1
18	Hospital Ward 18	Bellevue Complex	PHS1
h 18	Hospital Ward 18	Bellevue Complex	PHS1
h 2	Hospital Ward 2	Bellevue Complex	PHS1
21	Hospital Ward 21	Bellevue Complex	PHS1
22	Hospital Ward 22	Bellevue Complex	PHS1
h 22	Hospital Ward 22	Bellevue Complex	PHS1
24/res'd	Hospital Ward 24	Bellevue Complex	PHS1
h 24	Hospital Ward 24	Bellevue Complex	PHS1
26	Hospital Ward 26	Bellevue Complex	PHS1
28	Hospital Ward 28	Bellevue Complex	PHS1
h 29	Hospital Ward 29	Bellevue Complex	PHS1
h 29	Hospital Ward 29	Bellevue Complex	PHS1
h 3	Hospital Ward 3	Bellevue Complex	PHS1
h 30	Hospital Ward 30	Bellevue Complex	PHS1
h 30	Hospital Ward 30	Bellevue Complex	PHS1
32	Hospital Ward 32	Bellevue Complex	PHS1
34	Hospital Ward 34	Bellevue Complex	PHS1
35	Hospital Ward 35	Bellevue Complex	PHS1
36	Hospital Ward 36	Bellevue Complex	PHS1
38	Hospital Ward 38	Bellevue Complex	PHS1
h 38	Hospital Ward 38	Bellevue Complex	PHS1
h 38	Hospital Ward 38	Bellevue Complex	PHS1
39	Hospital Ward 39	Bellevue Complex	PHS1
h 39	Hospital Ward 39	Bellevue Complex	PHS1
h 4	Hospital Ward 4	Bellevue Complex	PHS1
42	Hospital Ward 42	Bellevue Complex	PHS1
45	Hospital Ward 45	Bellevue Complex	PHS1
46	Hospital Ward 46	Bellevue Complex	PHS1
